candidate,office,district,party,county,precinct,election_day,absentee,votes
Write-ins,State Senate,42,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Blanks,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Voids,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 2 (Lomontville FH),,,
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Marbletown 2 (Lomontville FH),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Marbletown 2 (Lomontville FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Marbletown 2 (Lomontville FH),1,0,1
Blanks,Attorney General,,REFORM,Ulster,Marbletown 2 (Lomontville FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Marbletown 2 (Lomontville FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Marbletown 2 (Lomontville FH),1,0,1
James G Skoufis,State Senate,39,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Blanks,State Senate,39,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Voids,State Senate,39,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Write-ins,State Senate,39,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Ann G Rabbitt,State Senate,42,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Blanks,State Senate,42,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Voids,State Senate,42,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Write-ins,State Senate,42,REFORM,Ulster,Marbletown 2 (Lomontville FH),,,
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",114,14,128
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",137,12,149
Blanks,Governor ,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",7,0,7
Voids,Governor ,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,0,0
Write-ins,Governor ,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",63,4,67
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",23,1,24
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",3,1,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",167,19,186
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",3,1,4
Voids,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,0,0
Pramilla Malick ,State Senate,42,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Blanks,State Senate,42,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Voids,State Senate,42,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Write-ins,State Senate,42,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Blanks,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Voids,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,1,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,0,0
Blanks,Attorney General,,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",1,0,1
Voids,Attorney General,,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",1,0,1
James G Skoufis,State Senate,39,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Blanks,State Senate,39,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Voids,State Senate,39,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Write-ins,State Senate,39,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Ann G Rabbitt,State Senate,42,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Blanks,State Senate,42,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Voids,State Senate,42,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Write-ins,State Senate,42,REFORM,Ulster,"Marbletown 3,5 (Stone Ridge FH)",,,
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),55,9,64
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),39,12,51
Blanks,Governor ,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),4,0,4
Voids,Governor ,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Write-ins,Governor ,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),13,6,19
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),9,2,11
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),75,13,88
Blanks,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),1,0,1
Voids,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Pramilla Malick ,State Senate,42,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Blanks,State Senate,42,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Voids,State Senate,42,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Write-ins,State Senate,42,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Blanks,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Voids,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 4 (Kripplebush FH),,,
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Mike Diederich,Attorney General,,REFORM,Ulster,Marbletown 4 (Kripplebush FH),0,1,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Marbletown 4 (Kripplebush FH),0,0,0
James G Skoufis,State Senate,39,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Blanks,State Senate,39,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Voids,State Senate,39,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Write-ins,State Senate,39,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Ann G Rabbitt,State Senate,42,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Blanks,State Senate,42,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Voids,State Senate,42,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Write-ins,State Senate,42,REFORM,Ulster,Marbletown 4 (Kripplebush FH),,,
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),78,12,90
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),63,4,67
Blanks,Governor ,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),4,0,4
Voids,Governor ,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Write-ins,Governor ,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),28,0,28
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),7,2,9
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),0,1,1
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),105,13,118
Blanks,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),5,0,5
Voids,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Pramilla Malick ,State Senate,42,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Blanks,State Senate,42,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Voids,State Senate,42,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Write-ins,State Senate,42,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Blanks,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Voids,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Nancy B Sliwa,Attorney General,,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),3,0,3
Mike Diederich,Attorney General,,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Blanks,Attorney General,,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Voids,Attorney General,,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),0,0,0
Write-ins,Attorney General,,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),0,1,1
James G Skoufis,State Senate,39,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Blanks,State Senate,39,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Voids,State Senate,39,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Write-ins,State Senate,39,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Ann G Rabbitt,State Senate,42,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Blanks,State Senate,42,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Voids,State Senate,42,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Write-ins,State Senate,42,REFORM,Ulster,Marbletown 6 (Vly_Atwood FH),,,
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",69,2,71
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",121,6,127
Blanks,Governor ,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",3,0,3
Voids,Governor ,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Write-ins,Governor ,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",63,2,65
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",49,3,52
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",4,0,4
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",75,3,78
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",3,0,3
Voids,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Pramilla Malick ,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Blanks,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Voids,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Write-ins,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",32,1,33
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",21,1,22
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",9,0,9
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",51,2,53
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",62,2,64
Blanks,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",19,2,21
Voids,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",7,0,7
Mike Diederich,Attorney General,,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",3,0,3
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",1,0,1
Blanks,Attorney General,,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",4,1,5
Voids,Attorney General,,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",1,0,1
James G Skoufis,State Senate,39,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",12,1,13
Blanks,State Senate,39,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",3,0,3
Voids,State Senate,39,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",0,0,0
Write-ins,State Senate,39,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",1,0,1
Ann G Rabbitt,State Senate,42,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Blanks,State Senate,42,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Voids,State Senate,42,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Write-ins,State Senate,42,REFORM,Ulster,"Marlborough 1,2,3 (St. Mary's)",,,
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",71,2,73
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",123,4,127
Blanks,Governor ,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,1,2
Voids,Governor ,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Write-ins,Governor ,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",68,4,72
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",42,0,42
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",2,0,2
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",78,3,81
Blanks,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",5,0,5
Voids,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Write-ins,Attorney General,,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Pramilla Malick ,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Blanks,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Voids,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Write-ins,State Senate,42,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",28,1,29
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",22,1,23
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",15,0,15
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",67,2,69
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",44,3,47
Blanks,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",18,0,18
Voids,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,0,1
Nancy B Sliwa,Attorney General,,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,0,1
Mike Diederich,Attorney General,,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,0,1
Christopher B Garvey,Attorney General,,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,0,1
Blanks,Attorney General,,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",3,0,3
Voids,Attorney General,,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Write-ins,Attorney General,,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,0,1
James G Skoufis,State Senate,39,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",4,0,4
Blanks,State Senate,39,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",2,0,2
Voids,State Senate,39,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",0,0,0
Write-ins,State Senate,39,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",1,0,1
Ann G Rabbitt,State Senate,42,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Blanks,State Senate,42,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Voids,State Senate,42,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Write-ins,State Senate,42,REFORM,Ulster,"Marlborough 4,5,6 (Marlborough TH)",,,
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),195,25,220
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),160,43,203
Blanks,Governor ,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),8,2,10
Voids,Governor ,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),0,0,0
Write-ins,Governor ,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),1,0,1
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),43,14,57
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),43,3,46
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),4,5,9
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),268,47,315
Blanks,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),4,0,4
Voids,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),2,1,3
Write-ins,Attorney General,,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),0,0,0
Pramilla Malick ,State Senate,42,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),37,5,42
Jen Metzger,State Senate,42,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),318,63,381
Blanks,State Senate,42,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),9,2,11
Voids,State Senate,42,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),0,0,0
Write-ins,State Senate,42,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),0,0,0
Jonathan G Jacobson,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Ralph S Coates,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Alexander Reed Kelly,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Kevindaryan Lujan,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Jodi McCredo,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Blanks,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Voids,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Write-ins,State Assembly,104,DEMOCRATIC,Ulster,New Paltz 1 (Village FH),,,
Nancy B Sliwa,Attorney General,,REFORM,Ulster,New Paltz 1 (Village FH),2,1,3
Mike Diederich,Attorney General,,REFORM,Ulster,New Paltz 1 (Village FH),0,0,0
Christopher B Garvey,Attorney General,,REFORM,Ulster,New Paltz 1 (Village FH),2,0,2
Blanks,Attorney General,,REFORM,Ulster,New Paltz 1 (Village FH),9,1,10
Voids,Attorney General,,REFORM,Ulster,New Paltz 1 (Village FH),0,1,1
Write-ins,Attorney General,,REFORM,Ulster,New Paltz 1 (Village FH),9,0,9
James G Skoufis,State Senate,39,REFORM,Ulster,New Paltz 1 (Village FH),,,
Blanks,State Senate,39,REFORM,Ulster,New Paltz 1 (Village FH),,,
Voids,State Senate,39,REFORM,Ulster,New Paltz 1 (Village FH),,,
Write-ins,State Senate,39,REFORM,Ulster,New Paltz 1 (Village FH),,,
Ann G Rabbitt,State Senate,42,REFORM,Ulster,New Paltz 1 (Village FH),1,1,2
Blanks,State Senate,42,REFORM,Ulster,New Paltz 1 (Village FH),5,0,5
Voids,State Senate,42,REFORM,Ulster,New Paltz 1 (Village FH),0,0,0
Write-ins,State Senate,42,REFORM,Ulster,New Paltz 1 (Village FH),16,2,18
Cynthia E. Nixon,Governor ,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",530,53,583
Andrew M. Cuomo,Governor ,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",450,47,497
Blanks,Governor ,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",16,4,20
Voids,Governor ,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",0,1,1
Write-ins,Governor ,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",0,0,0
Sean Patrick Maloney,Attorney General,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",189,17,206
Letitia A. James,Attorney General,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",85,6,91
Leecia R. Eve,Attorney General,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",11,2,13
Zephyr Teachout,Attorney General,,DEMOCRATIC,Ulster,"New Paltz 2,4,5,6,8,10 (Gateway)",702,76,778
